external_id,entry_date,gl_code,dept_code,vendor,amount,memo,source
GL-2026-02-0048,2026-02-18,1400,GTM,Salesforce,240000.00,Salesforce SAL-202602-4136,ap
GL-2026-02-0049,2026-02-15,6010,,Gusto,167289.94,Semi-monthly payroll run,payroll
GL-2026-02-0050,2026-02-15,6020,GA,Gusto,36722.18,Employer taxes & benefits,payroll
GL-2026-02-0051,2026-02-28,6010,,Gusto,170169.24,Semi-monthly payroll run,payroll
GL-2026-02-0052,2026-02-28,6020,GA,Gusto,37354.22,Employer taxes & benefits,payroll
GL-2026-02-0053,2026-02-13,6910,GTM,United Airlines,1403.71,United Airlines UNI-202602-8251,ap
GL-2026-02-0054,2026-02-13,6910,OPS,United Airlines,935.81,United Airlines UNI-202602-8251,ap
GL-2026-02-0055,2026-02-04,6910,GTM,United Airlines,1370.50,United Airlines UNI-202602-4915,ap
GL-2026-02-0056,2026-02-04,6910,OPS,United Airlines,913.66,United Airlines UNI-202602-4915,ap
GL-2026-02-0057,2026-02-09,6710,GTM,Google Ads,19708.57,Google Ads GOO-202602-9817,ap
GL-2026-02-0058,2026-02-05,6510,GA,Iron Mountain,490.00,Iron Mountain IRO-202602-7130,ap
GL-2026-02-0059,2026-02-04,6410,GA,,40.61,MONTHLY MAINTENANCE FEE,bank_fee
GL-2026-02-0060,2026-02-14,6410,GA,,113.91,ANALYSIS SERVICE CHARGE,bank_fee
GL-2026-02-0061,2026-02-11,6410,GTM,,865.54,RETURNED ITEM CHARGEBACK,bank_fee
GL-2026-02-0062,2026-02-13,7010,GA,,249.12,FX CONVERSION SPREAD,bank_fee
GL-2026-02-0063,2026-02-21,6410,GA,,33.73,MONTHLY MAINTENANCE FEE,bank_fee
GL-2026-02-0064,2026-02-10,6410,GA,,52.11,WIRE TRANSFER FEE INTL,bank_fee
GL-2026-02-0065,2026-02-08,6410,GA,,129.64,ANALYSIS SERVICE CHARGE,bank_fee
GL-2026-02-0066,2026-02-20,4020,GA,,-1804.16,INTEREST EARNED - SWEEP,bank_fee
GL-2026-02-0067,2026-02-19,6410,GTM,,929.96,RETURNED ITEM CHARGEBACK,bank_fee
GL-2026-02-0068,2026-02-14,7010,GA,,265.37,FX CONVERSION SPREAD,bank_fee
GL-2026-02-0069,2026-02-08,6410,GA,,34.49,MONTHLY MAINTENANCE FEE,bank_fee
GL-2026-02-0070,2026-02-12,6410,GA,,125.15,ANALYSIS SERVICE CHARGE,bank_fee
GL-2026-02-0071,2026-02-19,4020,GA,,-1686.52,INTEREST EARNED - SWEEP,bank_fee
GL-2026-02-0072,2026-02-07,6410,GTM,,1088.78,RETURNED ITEM CHARGEBACK,bank_fee
GL-2026-02-0073,2026-02-10,7010,GA,,223.42,FX CONVERSION SPREAD,bank_fee
